rating,text,summary
1,Not a great value,F
2,not the best snack.,Two Stars
2,"I would have given this a 4 or 5 ,but the salty peanuts were way to salty---Holy blood pressure and water retention!","Great, except one"
1,terrible after taste,One Star
1,You can buy at Walmart for $6.98,One Star
1,"No longer fresh and pleasant, the whole package was stale",One Star
2,not awful but the coating is a bit grainy and the flavor is odd,I'll pass
2,The peanuts were quite dry and didn't have much of a honey roasted flavor,Two Stars
1,"Stale , must slowly roast these 3 jars of dry roasted nuts in my slow heat oven to get these nuts crunchy and flavorful",Stale
1,Terrible taste.,One Star
1,Love Planters Peanuts but this order was to large cans of salt and Peanut pieces,One Star
1,Do not like the taste at all.,One Star
2,Repeat:  Stale.,Stale
1,stale,One Star
2,Stale,Stale
1,The nuts tasted stale.,One Star
2,For some weird reason my husband  started coughing after eating these peanuts.i am very disappointed this time.,i am very disappointed this time
2,perfect for lunches,Two Stars
1,Some were burned.,One Star
1,"I love these, but they never showed up",One Star
1,Logo fake... not the real deal,One Star
1,"Stale, I'm guessing I got 3 old cans",Stale
2,Was expecting another taste.,Two Stars
2,some people may like but i did not.,Two Stars
2,"Poor quality control, 1st purchase was great, 2nd purchase has lots of bad nuts, some hard as a rock, dark inedible.",Poor quality control
2,too many peanuts not enough cashews and honey roasted.,more peanuts than cashews or honey roasted
1,"Awful... these are not Virginia crunchy peanuts, just cocktail peanuts","THESE ARE NOT VIRGINIA PEANUTS, JUST STALE COCKTAIL PEANUTS!"
1,Crappiest quality nuts ever.,One Star
1,was great till amazon jacked up the price by a huge bit,was great - now not so great a value
2,"i like caramel popcorn with peanuts like crunch n munch, unfortunately this tastes weird without the popcorn, or just intrinsically strange tasting",i like caramel popcorn with peanuts like crunch n munch
2,Has a bad taste,Two Stars
1,Too many peanuts and the flavors of the packs are really not that good.,Won't buy these again. Go for quality nuts instead.
1,The taste of fake caramel is overwhelming.,Dislike The Taste
2,there like dirt or someting everytime i eat it feel like i have dirt in my teeth makes my skin crwl,there like dirt or someting everytime i eat it feel like ...
2,Below my expectations!,Not Good-
2,"No one here liked them, very bland and barely sweet.",Two Stars
1,mine came with more peanuts than any other package..... 17 packages were peanuts!,One Star
1,"I didn't really like it, and I could not return it, because it is a food item.",One Star
1,Not fresh,Will buy again
2,"too salty - I am ordering for my staff and was looking for ""heathier"" reasonable prices items.",Two Stars
1,"Terrible flavor,semi stale!",Your NUTS if you buy this!
1,They have sugar and salt in them,One Star
1,They tasted stale.,Not so fresh
2,The item was stale upon tasting it.,Stale peanuts?!
1,Not a great value,F
2,not the best snack.,Two Stars
2,"I would have given this a 4 or 5 ,but the salty peanuts were way to salty---Holy blood pressure and water retention!","Great, except one"
1,terrible after taste,One Star
1,You can buy at Walmart for $6.98,One Star
1,"No longer fresh and pleasant, the whole package was stale",One Star
2,not awful but the coating is a bit grainy and the flavor is odd,I'll pass
2,The peanuts were quite dry and didn't have much of a honey roasted flavor,Two Stars
1,"Stale , must slowly roast these 3 jars of dry roasted nuts in my slow heat oven to get these nuts crunchy and flavorful",Stale
1,Terrible taste.,One Star
1,Love Planters Peanuts but this order was to large cans of salt and Peanut pieces,One Star
1,Do not like the taste at all.,One Star
2,Repeat:  Stale.,Stale
1,stale,One Star
2,Stale,Stale
1,The nuts tasted stale.,One Star
2,For some weird reason my husband  started coughing after eating these peanuts.i am very disappointed this time.,i am very disappointed this time
2,perfect for lunches,Two Stars
1,Some were burned.,One Star
1,"I love these, but they never showed up",One Star
1,Logo fake... not the real deal,One Star
1,"Stale, I'm guessing I got 3 old cans",Stale
2,Was expecting another taste.,Two Stars
2,some people may like but i did not.,Two Stars
2,"Poor quality control, 1st purchase was great, 2nd purchase has lots of bad nuts, some hard as a rock, dark inedible.",Poor quality control
2,too many peanuts not enough cashews and honey roasted.,more peanuts than cashews or honey roasted
1,"Awful... these are not Virginia crunchy peanuts, just cocktail peanuts","THESE ARE NOT VIRGINIA PEANUTS, JUST STALE COCKTAIL PEANUTS!"
1,Crappiest quality nuts ever.,One Star
1,was great till amazon jacked up the price by a huge bit,was great - now not so great a value
2,"i like caramel popcorn with peanuts like crunch n munch, unfortunately this tastes weird without the popcorn, or just intrinsically strange tasting",i like caramel popcorn with peanuts like crunch n munch
2,Has a bad taste,Two Stars
1,Too many peanuts and the flavors of the packs are really not that good.,Won't buy these again. Go for quality nuts instead.
1,The taste of fake caramel is overwhelming.,Dislike The Taste
2,there like dirt or someting everytime i eat it feel like i have dirt in my teeth makes my skin crwl,there like dirt or someting everytime i eat it feel like ...
2,Below my expectations!,Not Good-
2,"No one here liked them, very bland and barely sweet.",Two Stars
1,mine came with more peanuts than any other package..... 17 packages were peanuts!,One Star
1,"I didn't really like it, and I could not return it, because it is a food item.",One Star
1,Not fresh,Will buy again
2,"too salty - I am ordering for my staff and was looking for ""heathier"" reasonable prices items.",Two Stars
1,"Terrible flavor,semi stale!",Your NUTS if you buy this!
1,They have sugar and salt in them,One Star
1,They tasted stale.,Not so fresh
2,The item was stale upon tasting it.,Stale peanuts?!
1,terrible after taste,One Star
1,You can buy at Walmart for $6.98,One Star
1,"No longer fresh and pleasant, the whole package was stale",One Star
2,not awful but the coating is a bit grainy and the flavor is odd,I'll pass
2,The peanuts were quite dry and didn't have much of a honey roasted flavor,Two Stars
1,"Stale , must slowly roast these 3 jars of dry roasted nuts in my slow heat oven to get these nuts crunchy and flavorful",Stale
1,Terrible taste.,One Star
1,Love Planters Peanuts but this order was to large cans of salt and Peanut pieces,One Star
1,Do not like the taste at all.,One Star
2,Repeat:  Stale.,Stale
1,stale,One Star
2,Stale,Stale
1,The nuts tasted stale.,One Star
2,For some weird reason my husband  started coughing after eating these peanuts.i am very disappointed this time.,i am very disappointed this time
1,Some were burned.,One Star
1,"I love these, but they never showed up",One Star
1,Logo fake... not the real deal,One Star
1,"Stale, I'm guessing I got 3 old cans",Stale
2,Was expecting another taste.,Two Stars
2,some people may like but i did not.,Two Stars
2,"Poor quality control, 1st purchase was great, 2nd purchase has lots of bad nuts, some hard as a rock, dark inedible.",Poor quality control
2,perfect for lunches,Two Stars
2,too many peanuts not enough cashews and honey roasted.,more peanuts than cashews or honey roasted
1,"Awful... these are not Virginia crunchy peanuts, just cocktail peanuts","THESE ARE NOT VIRGINIA PEANUTS, JUST STALE COCKTAIL PEANUTS!"
1,Crappiest quality nuts ever.,One Star
1,was great till amazon jacked up the price by a huge bit,was great - now not so great a value
2,"i like caramel popcorn with peanuts like crunch n munch, unfortunately this tastes weird without the popcorn, or just intrinsically strange tasting",i like caramel popcorn with peanuts like crunch n munch
2,Has a bad taste,Two Stars
1,Too many peanuts and the flavors of the packs are really not that good.,Won't buy these again. Go for quality nuts instead.
1,The taste of fake caramel is overwhelming.,Dislike The Taste
2,there like dirt or someting everytime i eat it feel like i have dirt in my teeth makes my skin crwl,there like dirt or someting everytime i eat it feel like ...
2,Below my expectations!,Not Good-
2,"No one here liked them, very bland and barely sweet.",Two Stars
1,mine came with more peanuts than any other package..... 17 packages were peanuts!,One Star
1,"I didn't really like it, and I could not return it, because it is a food item.",One Star
1,terrible after taste,One Star
1,You can buy at Walmart for $6.98,One Star
1,"No longer fresh and pleasant, the whole package was stale",One Star
2,not awful but the coating is a bit grainy and the flavor is odd,I'll pass
2,The peanuts were quite dry and didn't have much of a honey roasted flavor,Two Stars
1,"Stale , must slowly roast these 3 jars of dry roasted nuts in my slow heat oven to get these nuts crunchy and flavorful",Stale
1,Terrible taste.,One Star
1,Love Planters Peanuts but this order was to large cans of salt and Peanut pieces,One Star
1,Do not like the taste at all.,One Star
2,Repeat:  Stale.,Stale
1,stale,One Star
2,Stale,Stale
1,The nuts tasted stale.,One Star
2,For some weird reason my husband  started coughing after eating these peanuts.i am very disappointed this time.,i am very disappointed this time
1,Some were burned.,One Star
1,"I love these, but they never showed up",One Star
1,Logo fake... not the real deal,One Star
1,"Stale, I'm guessing I got 3 old cans",Stale
2,Was expecting another taste.,Two Stars
2,some people may like but i did not.,Two Stars
2,"Poor quality control, 1st purchase was great, 2nd purchase has lots of bad nuts, some hard as a rock, dark inedible.",Poor quality control
1,"Awful... these are not Virginia crunchy peanuts, just cocktail peanuts","THESE ARE NOT VIRGINIA PEANUTS, JUST STALE COCKTAIL PEANUTS!"
1,Crappiest quality nuts ever.,One Star
1,was great till amazon jacked up the price by a huge bit,was great - now not so great a value
2,"i like caramel popcorn with peanuts like crunch n munch, unfortunately this tastes weird without the popcorn, or just intrinsically strange tasting",i like caramel popcorn with peanuts like crunch n munch
2,Has a bad taste,Two Stars
1,The taste of fake caramel is overwhelming.,Dislike The Taste
2,there like dirt or someting everytime i eat it feel like i have dirt in my teeth makes my skin crwl,there like dirt or someting everytime i eat it feel like ...
2,Below my expectations!,Not Good-
2,"No one here liked them, very bland and barely sweet.",Two Stars
1,"I didn't really like it, and I could not return it, because it is a food item.",One Star
1,Not fresh,Will buy again
1,"Terrible flavor,semi stale!",Your NUTS if you buy this!
1,They have sugar and salt in them,One Star
1,They tasted stale.,Not so fresh
2,The item was stale upon tasting it.,Stale peanuts?!
5,Great for the glove box or golf bag.,Five Stars
5,best yet  you have to like vinegar,best yet you have to like
5,great,Five Stars
4,good peanuts,Four Stars
5,Great I can't stop eating them.,Five Stars
5,Thank you for a wonderful product.,Five Stars
5,arrived on time and as described,Five Stars
